[2026-04-06 09:46:59] User: bima | Score: 8.52 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:47:02] User: bima | Score: 1.87 | Thresh: 4.12 | Status: MATCH
[2026-04-06 09:52:38] User: bima | Score: 1.81 | Thresh: 4.12 | Status: MATCH
[2026-04-06 09:52:42] User: bima | Score: 8.50 | Thresh: 4.12 | Status: REJECT
[2026-04-06 10:02:28] User: bima | Score: 1.44 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:02:32] User: bima | Score: 3.35 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:02:37] User: bima | Score: 7.36 | Thresh: 4.12 | Status: REJECT
[2026-04-06 10:03:07] User: bima | Score: 1.83 | Thresh: 4.12 | Status: MATCH

[2026-04-06 10:03:26] User: bima | Score: 2.04 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:03:32] User: bima | Score: 1.42 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:03:41] User: bima | Score: 1.58 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:04] User: bima | Score: 1.61 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:08] User: bima | Score: 1.65 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:14] User: bima | Score: 1.54 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:19] User: bima | Score: 1.59 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:29] User: bima | Score: 2.36 | Thresh: 4.12 | Status: MATCH
[2026-04-06 10:04:35] User: bima | Score: 2.18 | Thresh: 4.12 | Status: MATCH
